LOCATION,QuarterlyUnemploymentRateChange,QuarterlyUnemploymentRate
AUS,-0.10733317141885657,4.594333
AUT,-0.14000009299999538,5.733333
BEL,-0.005263105540163404,6.3
CAN,-0.10788384996814515,7.166667
CHE,-0.014738872762769195,
CHL,-0.10344461711169861,8.213204
COL,-0.12230787817267108,13.00422
CRI,-0.14387378537972295,15.20011
CZE,-0.13043476843100343,2.666667
DEU,-0.04629638888888887,3.433333
DNK,-0.10596020569272879,4.5
EA19,-0.058577445247805615,7.5
ESP,-0.036876564668857914,14.8
EST,-0.05670107955149084,6.1
EU27_2020,-0.059633116530591,6.833333
FIN,-0.0696720520357399,7.566667
FRA,-0.03658536585365846,7.9
G-7,-0.09505961271030294,5.030836
GBR,-0.09754218693604777,4.263134
GRC,-0.14166687499999997,13.73333
HUN,-0.04838710067637908,3.933333
IRL,-0.08490565637237468,6.466667
ISL,-0.14659695567555198,5.433333
ISR,-0.048891848474813204,5.046149
ITA,-0.05460737574111796,9.233334
JPN,-0.034482758620689724,2.8
KOR,-0.18750001674107297,3.033333
LTU,-0.05726880804983214,7.133333
LUX,-0.08333333333333337,5.5
LVA,-0.08154514671480051,7.133333
MEX,-0.0639764268104126,4.072998
NLD,-0.05050515151515145,3.133333
NOR,0.027777708333333484,
NZL,-0.15000000000000002,3.4
OECD,-0.08277862470425545,5.96011
POL,-0.05555555555555558,3.4
PRT,-0.07211538808247053,6.433333
SVK,-0.06249995492788252,6.5
SVN,-0.12592599999999998,3.933333
SWE,-0.0579709782608695,8.666667
TUR,-0.04884368924326754,
USA,-0.13483146824895886,5.133333
