LOCATION,YearlyUnemploymentRateChange,YearlyUnemploymentRate
AUS,0.25255712634204563,6.461837
AUT,0.2444061105400268,6.025
BEL,0.03260869362678931,5.541667
CAN,0.6671512015785581,9.558333
CHE,0.09577439917423147,4.815328
CHL,0.4911777411029761,10.77024
COL,0.5300303461356095,16.13417
CRI,0.6726712823344518,19.68985
CZE,0.2644626009152724,2.55
DEU,0.21693111111111119,3.833333
DNK,0.11696877212314805,5.65
EA19,0.04285714474097335,7.908333
ESP,0.10100415853612721,15.53333
EST,0.49632356590614446,6.783333
EU27_2020,0.05432103703703706,7.116667
FIN,0.14585902863490596,7.725
FRA,-0.047430713337182295,8.033334
G-7,0.5099805821804342,6.480737
GBR,0.1872805705251126,4.551465
GRC,-0.051441932969602644,16.44167
HUN,0.25,4.125
IRL,0.1758793969849246,5.85
ISL,0.6355932742028199,6.433333
ISR,0.13815789473684226,4.325
ITA,-0.07398164588528677,9.283334
JPN,0.1808510638297871,2.775
KOR,0.041850400163030876,3.941667
LTU,0.3554376315882035,8.516666
LUX,0.19672129974835761,6.691667
LVA,0.28401591989516084,8.1
MEX,0.2686022354617723,4.433232
NLD,0.12745088235294122,3.833333
NOR,0.24324324324324298,4.6
NZL,0.12195121951219523,4.6
OECD,0.31932042580531905,7.15411
POL,-0.03807106985493092,3.158333
PRT,0.06616734082397002,7.116667
SVK,0.16184964382372002,6.7
SVN,0.11940290153709676,5.0
SWE,0.2253694470261356,8.291667
TUR,-0.04366281536378036,13.14167
USA,1.2068177993802003,8.091666
